Rarity Tier,N,Top-1 Acc,95% CI,Top-5 Acc,Gap (pp)
Zero-shot (novel),28,10.7%,"[3.7%, 27.2%]",14.3%,3.6
Ultra-rare (1),44,11.4%,"[5.0%, 24.0%]",11.4%,0.0
Very rare (2-5),56,37.5%,"[26.0%, 50.6%]",42.9%,5.4
Rare (6-20),56,33.9%,"[22.9%, 47.0%]",50.0%,16.1
Moderate (21-100),56,21.4%,"[12.7%, 33.8%]",25.0%,3.6
Common (100+),56,28.6%,"[18.4%, 41.5%]",33.9%,5.4
